#Vds(V)	         Vgs(V)	         CGD (C/um)
7.00E-01	2.00E-01	1.11E-16
7.00E-01	3.00E-01	1.11E-16
7.00E-01	4.00E-01	1.11E-16
7.00E-01	5.00E-01	1.09E-16
7.00E-01	6.00E-01	1.08E-16
7.00E-01	7.00E-01	1.10E-16
7.00E-01	8.00E-01	1.17E-16
7.00E-01	9.00E-01	1.27E-16
7.00E-01	1.00E+00	1.41E-16
7.00E-01	1.10E+00	1.57E-16
7.00E-01	1.20E+00	1.73E-16
7.00E-01	1.30E+00	1.88E-16
7.00E-01	1.40E+00	2.00E-16
7.00E-01	1.50E+00	2.10E-16
8.00E-01	0.00E+00	1.09E-16
8.00E-01	1.00E-01	1.10E-16
8.00E-01	2.00E-01	1.11E-16
8.00E-01	3.00E-01	1.11E-16
8.00E-01	4.00E-01	1.11E-16
8.00E-01	5.00E-01	1.09E-16
8.00E-01	6.00E-01	1.07E-16
8.00E-01	7.00E-01	1.06E-16
8.00E-01	8.00E-01	1.08E-16
8.00E-01	9.00E-01	1.11E-16
8.00E-01	1.00E+00	1.17E-16
8.00E-01	1.10E+00	1.25E-16
8.00E-01	1.20E+00	1.35E-16
8.00E-01	1.30E+00	1.47E-16
8.00E-01	1.40E+00	1.59E-16
8.00E-01	1.50E+00	1.71E-16
9.00E-01	0.00E+00	1.10E-16
9.00E-01	1.00E-01	1.10E-16
9.00E-01	2.00E-01	1.11E-16
9.00E-01	3.00E-01	1.12E-16
9.00E-01	4.00E-01	1.11E-16
9.00E-01	5.00E-01	1.09E-16
9.00E-01	6.00E-01	1.07E-16
9.00E-01	7.00E-01	1.05E-16
9.00E-01	8.00E-01	1.05E-16
9.00E-01	9.00E-01	1.06E-16
9.00E-01	1.00E+00	1.08E-16
9.00E-01	1.10E+00	1.12E-16
9.00E-01	1.20E+00	1.17E-16
9.00E-01	1.30E+00	1.23E-16
9.00E-01	1.40E+00	1.31E-16
9.00E-01	1.50E+00	1.40E-16
1.00E+00	0.00E+00	1.10E-16
1.00E+00	1.00E-01	1.11E-16
1.00E+00	2.00E-01	1.11E-16
1.00E+00	3.00E-01	1.12E-16
1.00E+00	4.00E-01	1.11E-16
1.00E+00	5.00E-01	1.09E-16
1.00E+00	6.00E-01	1.07E-16
1.00E+00	7.00E-01	1.05E-16
1.00E+00	8.00E-01	1.05E-16
1.00E+00	9.00E-01	1.05E-16
1.00E+00	1.00E+00	1.06E-16
1.00E+00	1.10E+00	1.07E-16
1.00E+00	1.20E+00	1.09E-16
1.00E+00	1.30E+00	1.12E-16
1.00E+00	1.40E+00	1.16E-16
1.00E+00	1.50E+00	1.22E-16
