#Vds(V)	         Vgs(V)	         Id(A/um)        
7.00E-01	2.00E-01	1.42E-08
7.00E-01	3.00E-01	1.55E-07
7.00E-01	4.00E-01	1.58E-06
7.00E-01	5.00E-01	1.12E-05
7.00E-01	6.00E-01	4.02E-05
7.00E-01	7.00E-01	8.73E-05
7.00E-01	8.00E-01	1.45E-04
7.00E-01	9.00E-01	2.08E-04
7.00E-01	1.00E+00	2.74E-04
7.00E-01	1.10E+00	3.40E-04
7.00E-01	1.20E+00	4.03E-04
7.00E-01	1.30E+00	4.64E-04
7.00E-01	1.40E+00	5.21E-04
7.00E-01	1.50E+00	5.75E-04
8.00E-01	0.00E+00	1.75E-10
8.00E-01	1.00E-01	1.78E-09
8.00E-01	2.00E-01	1.88E-08
8.00E-01	3.00E-01	2.02E-07
8.00E-01	4.00E-01	2.00E-06
8.00E-01	5.00E-01	1.33E-05
8.00E-01	6.00E-01	4.53E-05
8.00E-01	7.00E-01	9.53E-05
8.00E-01	8.00E-01	1.56E-04
8.00E-01	9.00E-01	2.23E-04
8.00E-01	1.00E+00	2.94E-04
8.00E-01	1.10E+00	3.66E-04
8.00E-01	1.20E+00	4.38E-04
8.00E-01	1.30E+00	5.10E-04
8.00E-01	1.40E+00	5.80E-04
8.00E-01	1.50E+00	6.48E-04
9.00E-01	0.00E+00	2.35E-10
9.00E-01	1.00E-01	2.37E-09
9.00E-01	2.00E-01	2.47E-08
9.00E-01	3.00E-01	2.61E-07
9.00E-01	4.00E-01	2.49E-06
9.00E-01	5.00E-01	1.56E-05
9.00E-01	6.00E-01	5.01E-05
9.00E-01	7.00E-01	1.03E-04
9.00E-01	8.00E-01	1.66E-04
9.00E-01	9.00E-01	2.35E-04
9.00E-01	1.00E+00	3.08E-04
9.00E-01	1.10E+00	3.83E-04
9.00E-01	1.20E+00	4.58E-04
9.00E-01	1.30E+00	5.34E-04
9.00E-01	1.40E+00	6.09E-04
9.00E-01	1.50E+00	6.83E-04
1.00E+00	0.00E+00	3.13E-10
1.00E+00	1.00E-01	3.12E-09
1.00E+00	2.00E-01	3.20E-08
1.00E+00	3.00E-01	3.31E-07
1.00E+00	4.00E-01	3.05E-06
1.00E+00	5.00E-01	1.79E-05
1.00E+00	6.00E-01	5.49E-05
1.00E+00	7.00E-01	1.09E-04
1.00E+00	8.00E-01	1.74E-04
1.00E+00	9.00E-01	2.45E-04
1.00E+00	1.00E+00	3.19E-04
1.00E+00	1.10E+00	3.96E-04
1.00E+00	1.20E+00	4.73E-04
1.00E+00	1.30E+00	5.51E-04
1.00E+00	1.40E+00	6.28E-04
1.00E+00	1.50E+00	7.05E-04
